"TOA5","CR1000-BEASToffice","CR1000","68038","CR1000.Std.29","CPU:Rutgers_BEAST_v1.CR1","28642","AVG_DATA"
"TIMESTAMP","RECORD","HYGRO_OUT_Avg(1)","HYGRO_OUT_Avg(2)","HYGRO_OUT_Avg(3)","HYGRO_OUT_Avg(4)","HYGRO_OUT_Avg(5)","HYGRO_OUT_Avg(6)","HYGRO_OUT_Max(1)","HYGRO_OUT_Max(2)","HYGRO_OUT_Max(3)","HYGRO_OUT_Max(4)","HYGRO_OUT_Max(5)","HYGRO_OUT_Max(6)","HYGRO_OUT_Min(1)","HYGRO_OUT_Min(2)","HYGRO_OUT_Min(3)","HYGRO_OUT_Min(4)","HYGRO_OUT_Min(5)","HYGRO_OUT_Min(6)","RH_OUT_Avg(1)","RH_OUT_Avg(2)","RH_OUT_Avg(3)","RH_OUT_Avg(4)","RH_OUT_Avg(5)","RH_OUT_Avg(6)","RH_OUT_Max(1)","RH_OUT_Max(2)","RH_OUT_Max(3)","RH_OUT_Max(4)","RH_OUT_Max(5)","RH_OUT_Max(6)","RH_OUT_Min(1)","RH_OUT_Min(2)","RH_OUT_Min(3)","RH_OUT_Min(4)","RH_OUT_Min(5)","RH_OUT_Min(6)","Temp_Avg(1)","Temp_Avg(2)","Temp_Avg(3)","Temp_Avg(4)","Temp_Avg(5)","Temp_Avg(6)","Temp_Max(1)","Temp_Max(2)","Temp_Max(3)","Temp_Max(4)","Temp_Max(5)","Temp_Max(6)","Temp_Min(1)","Temp_Min(2)","Temp_Min(3)","Temp_Min(4)","Temp_Min(5)","Temp_Min(6)"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min"
"2019-07-02 11:55:00",0,15.47416,15.70314,15.81786,14.89052,14.92003,14.94969,15.47471,15.70344,15.81855,14.89118,14.92083,14.95216,15.4736,15.70284,15.81718,14.88987,14.91923,14.94722,72.17412,73.1814,73.67889,69.52221,69.65913,69.79648,72.17659,73.18272,73.68185,69.52525,69.66286,69.80792,72.17165,73.18009,73.67593,69.51917,69.65541,69.78504,102,102.8,96.7,95.3,91.1,89.5,102,102.8,96.7,95.3,91.1,89.5,102,102.8,96.7,95.3,91.1,89.5
"2019-07-02 11:56:00",1,15.48039,15.70839,15.81667,14.90276,14.892,14.95874,15.4836,15.71124,15.81894,14.92059,14.91762,14.96549,15.47582,15.70604,15.81505,14.89414,14.86088,14.95516,72.20178,73.20429,73.67374,69.57902,69.52898,69.83831,72.21604,73.21669,73.68354,69.66174,69.64799,69.86954,72.18153,73.19404,73.66675,69.53901,69.38433,69.82178,102,102.8,96.9,95.2,91.1,89.6,102,102.8,97.1,95.3,91.1,89.6,102,102.8,96.8,95.1,91.1,89.5
"2019-07-02 11:57:00",2,15.48765,15.71096,15.81855,14.93283,14.89524,14.96709,15.49082,15.7154,15.81941,14.93803,14.92086,14.9704,15.4832,15.70648,15.81747,14.92925,14.85433,14.96193,72.234,73.21548,73.68184,69.71845,69.54404,69.87689,72.2481,73.23478,73.68557,69.74251,69.66299,69.89222,72.21427,73.19595,73.67719,69.70188,69.35383,69.85308,102.1,102.9,97.2,95.1,91.1,89.6,102.1,102.9,97.3,95.1,91.1,89.6,102,102.8,97.1,95,91.1,89.6
"2019-07-02 11:58:00",3,15.49874,15.72167,15.81774,14.95238,14.93447,14.9615,15.50739,15.73296,15.82093,14.96506,14.95123,14.96433,15.49304,15.71176,15.81628,14.94081,14.92407,14.95613,72.28317,73.26209,73.67837,69.80889,69.72602,69.85107,72.32149,73.3112,73.69212,69.86753,69.80362,69.86417,72.2579,73.21896,73.67207,69.75538,69.67788,69.82626,102.1,102.9,97.5,95,91.1,89.6,102.1,102.9,97.6,95,91.1,89.7,102.1,102.9,97.4,94.9,91.1,89.6
"2019-07-02 11:59:00",4,15.5147,15.7328,15.81778,14.9812,14.93417,14.96301,15.52055,15.73552,15.82146,14.99121,14.95123,14.96728,15.50849,15.73121,15.81383,14.9738,14.9144,14.95464,72.35387,73.31049,73.6785,69.94205,69.7246,69.85803,72.37975,73.32231,73.6944,69.98827,69.80362,69.8778,72.32637,73.3036,73.66147,69.90794,69.63306,69.81938,102.1,103,97.8,94.9,91.1,89.7,102.1,103,98,94.9,91.1,89.7,102.1,103,97.7,94.8,91.1,89.7
"2019-07-02 12:00:00",5,15.52823,15.73238,15.817,14.97986,14.92787,14.97257,15.53591,15.73696,15.82039,14.98495,14.94038,14.97751,15.52055,15.72861,15.81443,14.97253,14.9168,14.9637,72.4137,73.30865,73.67515,69.93585,69.69547,69.90222,72.44763,73.32856,73.68977,69.95936,69.7534,69.92506,72.37975,73.29226,73.66408,69.90205,69.64414,69.86124,102.1,103,98.1,94.8,91.2,89.7,102.1,103,98.2,94.8,91.2,89.7,102.1,103,97.9,94.7,91.1,89.7
"2019-07-02 12:01:00",6,15.54237,15.7424,15.81635,14.99279,14.94213,14.9593,15.54681,15.74716,15.81872,14.99869,14.94632,14.96327,15.53809,15.73744,15.8146,14.98374,14.93833,14.95519,72.4762,73.35221,73.67237,69.99551,69.7615,69.84094,72.4958,73.37285,73.68257,70.02271,69.7809,69.85927,72.4573,73.33067,73.66479,69.95379,69.74391,69.82192,102.1,103.1,98.4,94.7,91.2,89.7,102.1,103.1,98.5,94.7,91.2,89.8,102.1,103.1,98.3,94.6,91.2,89.7
"2019-07-02 12:02:00",7,15.54653,15.7515,15.8139,15.01301,14.93832,14.97492,15.55158,15.75584,15.81619,15.02219,14.95106,14.98411,15.53957,15.74661,15.81235,15.00478,14.92555,14.96337,72.49456,73.3917,73.6618,70.08865,69.74385,69.91308,72.51687,73.41054,73.67168,70.13088,69.80281,69.95548,72.4638,73.37048,73.6551,70.05079,69.68473,69.85971,102.2,103.1,98.7,94.6,91.2,89.8,102.2,103.1,98.8,94.6,91.2,89.8,102.1,103.1,98.6,94.6,91.2,89.8
"2019-07-02 12:03:00",8,15.55383,15.75713,15.81133,15.03909,14.93252,14.9869,15.5582,15.75958,15.81292,15.04882,14.94956,14.99111,15.55158,15.75426,15.8087,15.02219,14.90476,14.983,72.52677,73.41615,73.65069,70.20858,69.71696,69.96834,72.54604,73.42676,73.65755,70.2533,69.79588,69.98775,72.51687,73.40369,73.63934,70.13088,69.58833,69.95036,102.2,103.1,99,94.6,91.2,89.8,102.2,103.2,99.1,94.6,91.2,89.8,102.2,103.1,98.8,94.5,91.2,89.8
"2019-07-02 12:04:00",9,15.56146,15.76311,15.80891,15.05385,14.92829,14.98472,15.56472,15.76551,15.81169,15.05812,14.93682,14.98957,15.55929,15.76142,15.80604,15.04808,14.90959,14.97737,72.5604,73.44206,73.64025,70.27638,69.69741,69.95831,72.57477,73.45248,73.65224,70.29597,69.73693,69.98067,72.55083,73.43473,73.62784,70.24989,69.61074,69.92437,102.2,103.2,99.3,94.6,91.2,89.8,102.2,103.2,99.4,94.6,91.2,89.9,102.2,103.2,99.2,94.6,91.2,89.8
"2019-07-02 12:05:00",10,15.57155,15.76741,15.80839,15.05439,14.93976,14.98454,15.57661,15.77149,15.81029,15.05746,14.94714,14.99276,15.56793,15.76231,15.80602,15.05248,14.9304,14.97709,72.60487,73.4607,73.63799,70.27887,69.75054,69.95748,72.62713,73.47837,73.64619,70.29298,69.78467,69.9954,72.58894,73.4386,73.62775,70.27011,69.70719,69.92308,102.2,103.2,99.6,94.6,91.2,89.9,102.2,103.2,99.7,94.6,91.2,89.9,102.2,103.2,99.4,94.6,91.2,89.9
"2019-07-02 12:06:00",11,15.584,15.76868,15.80697,15.06061,14.91865,14.97708,15.5885,15.77353,15.80888,15.06485,14.94513,14.98186,15.57985,15.76481,15.80475,15.05691,14.90107,14.97265,72.65968,73.4662,73.63187,70.3074,69.65269,69.92306,72.67948,73.4872,73.64009,70.32687,69.77536,69.94509,72.64144,73.44944,73.62229,70.29043,69.57119,69.9026,102.2,103.2,99.8,94.6,91.3,90,102.2,103.3,100,94.7,91.3,90,102.2,103.2,99.7,94.6,91.2,89.9
"2019-07-02 12:07:00",12,15.59161,15.76314,15.80441,15.06718,14.89443,14.96791,15.59499,15.76638,15.80621,15.07152,14.91268,14.97628,15.58847,15.76093,15.80175,15.0644,14.87558,14.95561,72.69319,73.44217,73.62078,70.33756,69.54033,69.88071,72.70802,73.45624,73.62858,70.35743,69.62508,69.91935,72.67934,73.43259,73.60934,70.32478,69.45274,69.82384,102.2,103.3,100.1,94.7,91.3,90,102.3,103.3,100.2,94.7,91.3,90,102.2,103.3,100,94.7,91.3,90
"2019-07-02 12:08:00",13,15.59919,15.76903,15.80397,15.07909,14.92601,14.96863,15.60383,15.77022,15.80534,15.09094,14.93188,14.97789,15.59417,15.76615,15.80227,15.0701,14.91589,14.9585,72.72648,73.46772,73.6189,70.39211,69.68687,69.88404,72.74688,73.47289,73.62479,70.44637,69.71403,69.92679,72.70444,73.45523,73.61157,70.35091,69.63993,69.83722,102.3,103.3,100.3,94.7,91.3,90,102.3,103.3,100.4,94.7,91.3,90.1,102.3,103.3,100.2,94.7,91.3,90
